turker_id,time,distance_between_targets,question_index,sizediff,accuracy,clicked_x,clicked_y,index_of_difficulty
Hiro,1.421,600,32,2,0,140.434,265.175,4.16784
Hiro,1.171,100,33,3,1,38.2999,32.245,1.12645
Rob,1.993,600,29,3,1,59.6861,-293.857,4.34168
Rob,1.248,300,30,2,0,46.9669,-142.455,3.2964
Hiro,1.771,100,34,2,0,48.8466,11.302,0.197111
Hiro,2.74,400,35,1,0,125.05,156.166,3.40384
Hiro,2.471,200,36,1,1,-73.84,67.917,2.19838
Hiro,3.113,600,37,3,0,-57.0229,294.822,4.31968
Rob,1.955,600,31,1,0,199.587,223.277,3.94722
Hiro,1.269,300,38,2,1,66.1955,-134.573,3.18987
Rob,1.259,600,32,2,0,-83.7791,288.29,4.31235
Hiro,1.644,100,39,3,1,8.0525,-49.337,1.74225
Rob,1.548,300,33,1,0,8.00021,149.78,3.36878
Hiro,1.119,200,40,3,1,-54.3857,-83.513,2.50619
Rob,1.357,100,34,2,1,-14.6799,-47.9495,1.72125
Hiro,2.62,500,41,1,0,212.878,-131.312,3.15352
Rob,2.392,200,35,2,1,-87.2738,-48.8607,1.75233
Hiro,2.352,500,42,2,0,191.715,160.69,3.44462
Rob,1.19,100,36,1,0,-49.1321,-12.9124,0.814319
Hiro,1.456,200,43,2,1,64.297,-76.662,2.37699
Rob,1.453,600,37,1,0,-100.572,-282.961,4.28502
Hiro,1.269,300,44,3,1,-48.2725,142.041,3.26733
Rob,1.078,300,38,2,1,89.7615,-119.526,3.04823
Hiro,1.059,200,45,3,1,-54.1845,84.088,2.5107
Rob,1.011,100,39,1,0,-34.0734,-36.6069,1.33576
Rob,1.645,600,40,1,0,-246.617,-171.182,3.56042
Hiro,1.788,300,46,2,1,-41.585,-144.096,3.28847
Rob,1.171,400,41,1,1,52.6752,-192.922,3.73401
Hiro,3.184,400,47,2,0,45.2556,194.845,3.72331
Rob,1.471,300,42,1,0,-139.645,-55.4959,2.34168
Hiro,1.482,500,48,2,1,22.3529,-249.006,4.07735
Rob,1.121,300,43,2,1,24.6166,-147.962,3.35114
Hiro,2.157,300,49,2,1,24.7101,148.165,3.32639
Rob,1.261,400,44,1,0,-26.9763,-198.295,3.77265
Rob,1.143,200,45,2,1,-67.9565,-73.7286,2.34229
Hiro,1.102,100,50,1,1,33.3867,-37.346,1.33753
Rob,1.161,400,46,1,0,-85.1371,-181.187,3.64197
Hiro,1.465,400,51,1,1,160.107,119.825,3.02228
Rob,1.094,100,47,3,1,-2.84201,49.9379,1.78354
Hiro,1.52,100,52,2,1,-21.038,-45.319,1.62044
Rob,1.038,100,48,2,0,-37.8407,-33.6423,1.19607
Hiro,1.77,500,53,3,1,-228.225,-101.853,2.78816
Rob,1.044,200,49,3,1,-76.8942,-64.9973,2.15448
Hiro,1.084,100,54,3,1,40.1213,-29.905,1.01851
Rob,1.426,600,50,3,0,180.398,-239.253,4.04613
Rob,1.426,600,50,3,0,180.398,-239.253,4.04613
Rob,1.426,600,50,3,0,180.398,-239.253,4.04613
Rob,1.426,600,50,3,0,180.398,-239.253,4.04613
Rob,1.426,600,50,3,0,180.398,-239.253,4.04613
Rob,1.426,600,50,3,0,180.398,-239.253,4.04613
Rob,1.426,600,50,3,0,180.398,-239.253,4.04613
Rob,1.426,600,50,3,0,180.398,-239.253,4.04613
kemptond,1.63,200,1,3,0,-40.9078,-91.253,2.65378
oscar smith,1.973,500,1,3,1,-172.117,-181.317,3.64439
kemptond,2.316,200,2,1,1,-9.05495,-99.562,2.77993
oscar smith,1.616,400,2,3,0,114.733,163.817,3.49797
kemptond,1.439,100,3,3,1,-7.7288,-49.361,1.7684
oscar smith,1.397,100,3,2,1,32.75,-37.783,1.38165
oscar smith,1.067,100,4,3,1,1.167,49.983,1.78548
kemptond,1.635,400,4,3,1,-47.5538,194.205,3.74387
heyo,2.991,400,1,1,0,123.047,157.881,3.41396
oscar smith,1.524,400,5,2,1,-42.083,195.517,3.75321
kemptond,1.384,100,5,2,1,41.5451,-28.248,0.955221
oscar smith,1.491,400,6,3,0,162.2,117,3.01242
kemptond,2.706,600,6,1,1,53.2687,295.168,4.34772
oscar smith,1.518,300,7,3,1,145.8,35.25,2.43295
heyo,5.26,400,2,1,1,30.5775,-197.916,3.73932
oscar smith,1.265,100,8,2,0,34.767,-35.933,1.30928
kemptond,1.797,300,7,2,1,27.1131,-147.582,3.34689
oscar smith,1.439,200,9,1,1,-59.883,80.083,2.4655
kemptond,2.582,400,8,1,1,-45.7395,194.714,3.74713
heyo,3.224,600,3,1,1,-235.987,185.147,3.64525
kemptond,2.886,300,9,3,1,-137.123,-60.256,2.05719
oscar smith,8.271,100,10,1,0,-44.417,-22.95,0.718276
heyo,2.011,300,4,2,1,45.2295,-142.909,3.27243
kemptond,2.874,400,10,1,1,15.3736,-199.38,3.7816
oscar smith,1.986,500,11,2,0,-10.467,249.783,4.10654
oscar smith,1.094,200,12,3,1,96.267,-27.1,1.83396
heyo,2.107,600,5,1,0,-157.281,255.477,4.10948
kemptond,1.993,600,11,3,0,168.245,248.377,4.09843
oscar smith,1.363,600,13,1,1,-49.167,295.95,4.3512
heyo,1.715,200,6,3,1,-0.1455,99.798,2.75633
kemptond,1.851,400,12,1,0,24.4967,-198.449,3.77497
oscar smith,2.077,600,14,3,0,97.167,283.833,4.2909
kemptond,2.505,100,13,2,0,-8.20035,-49.381,1.76625
heyo,2.325,300,7,3,1,-136.917,-59.839,2.02106
oscar smith,2.329,400,15,1,0,87.483,179.85,3.63268
kemptond,1.564,600,14,1,1,194.704,228.18,3.97624
heyo,2.259,100,8,3,1,31.2655,39.582,1.40659
oscar smith,1.429,300,16,3,1,-51.783,140.783,3.27931
kemptond,1.944,100,15,3,1,-25.4175,-43.094,1.57053
heyo,2.04,500,9,2,0,154.489,-196.566,3.73129
oscar smith,1.848,100,17,3,1,-4.467,49.8,1.78009
oscar smith,1.088,300,18,1,1,-45.217,143.017,3.30211
